TransactionID,RetailTransaction_TaxDefinitions_TaxAuthority_AuthorityId,RetailTransaction_TaxDefinitions_TaxAuthority_Descriptions_Description,RetailTransaction_TaxDefinitions_TaxAuthority_Descriptions_Description.Culture,RetailTransaction_TaxDefinitions_TaxRate_RateId,RetailTransaction_TaxDefinitions_TaxRate_Type,RetailTransaction_TaxDefinitions_TaxRate_AuthorityId,RetailTransaction_TaxDefinitions_TaxRate_Descriptions_Description,RetailTransaction_TaxDefinitions_TaxRate_Descriptions_Description.Culture,RetailTransaction_TaxDefinitions_TaxRate_IsIncluded,RetailTransaction_TaxDefinitions_TaxRate_TaxCalculatedMethodPercent_Value,RetailTransaction_TaxDefinitions_TaxRate_TaxCalculatedMethodPercent_ImpositionId,RetailTransaction_TaxDefinitions_TaxRate_TaxIndicator,RetailTransaction_TaxDefinitions_TaxRate_RoundingType,RetailTransaction_TaxDefinitions_TaxRate_CouponReducesTaxationAmount
YZXCVTNRMU,1,VAT,en-GB,2,Tax,1,0.00%,en-GB,true,0.0000,A,A,Standard,false
YZXCVTNRMU,1,VAT,en-GB,82,Tax,1,20.00%,en-GB,true,20.0000,C,C,Standard,false
